,SSM_IS,TAU,SIG40
2007-01-03 11:33:39.374012,0.0164,0.42381153,-14.929379
2007-01-03 22:52:30.000000,0.0149,0.42381153,-15.069339
2007-01-05 12:32:16.874990,0.0097,0.42404687,-14.802873
2007-01-05 23:51:09.373990,0.0172,0.42404687,-15.086335
2007-01-08 11:30:14.999020,0.0089,0.42424518,-15.191001
2007-01-08 22:49:07.499991,0.0132,0.42424518,-15.359946
2007-01-10 12:28:54.374016,0.0019,0.42431056,-15.027301
2007-01-10 23:47:46.874988,0.0006,0.42431056,-15.239455
2007-01-12 11:47:35.624999,0.0126,0.4243201,-15.0107565
2007-01-13 11:26:50.623987,0.0104,0.42430988,-14.993438
2007-01-13 22:45:44.999983,0.0142,0.42430988,-15.342948
2007-01-15 12:25:33.749999,0.0064,0.424262,-14.754849
2007-01-15 23:44:22.499995,0.0154,0.424262,-15.133934
2007-01-17 11:44:13.124991,0.0016,0.42404038,-13.838574
2007-01-18 22:42:22.500016,0.0018,0.4239336,-14.59148
2007-01-19 12:42:44.999002,0.0164,0.4237825,-14.923352
2007-01-20 12:22:11.249991,0.0119,0.42362434,-14.6035
2007-01-20 23:40:58.125002,0.0101,0.42362434,-12.801975
2007-01-22 11:40:48.749998,0.0774,0.42331052,-15.262134
2007-01-23 22:38:59.999002,0.051,0.42311034,-15.174167
2007-01-24 12:39:24.375025,0.0317,0.4229605,-15.075109
2007-01-25 23:37:33.750009,0.0221,0.42283434,-15.532023
2007-01-27 11:37:24.375005,0.0013,0.42250627,-15.149094
2007-01-27 22:56:13.125001,0.0017,0.42250627,-15.24805
2007-01-28 22:35:37.500000,0.0028,0.42231658,-15.197314
2007-01-29 12:36:01.874976,0.0021,0.42206374,-15.117442
2007-01-30 23:34:11.250001,0.0021,0.42172188,-15.271286
2007-02-01 11:34:00.000012,0.0012,0.4211576,-14.953545
2007-02-01 22:52:50.624993,0.0003,0.4211576,-15.221559
2007-02-03 12:32:39.375008,0.0147,0.4207559,-14.655871
2007-02-03 23:51:31.874009,0.014,0.4207559,-14.94064
2007-02-06 11:30:35.625019,0.009,0.42055604,-14.813001
