,SSM_IS,TAU,SIG40
2009-06-09 02:14:52.499980,0.288,0.4122354,-9.093811
2009-06-09 16:14:46.874999,0.288,0.4122354,-9.018043
2009-06-10 15:54:11.249997,0.271,0.41218454,-9.047265
2009-06-11 03:13:28.125007,0.26,0.41203392,-9.005721
2009-06-12 15:12:44.999994,0.389,0.41193238,-8.41245
2009-06-14 02:11:24.375017,0.342,0.4116749,-8.709089
2009-06-14 16:11:18.748990,0.337,0.4116749,-8.968128
2009-06-16 03:09:56.249994,0.314,0.41170242,-8.818295
2009-06-17 15:09:15.000007,0.299,0.41176882,-8.937434
2009-06-18 02:28:31.874976,0.287,0.41177684,-8.575845
2009-06-19 02:07:56.249009,0.271,0.411742,-8.993975
2009-06-19 16:07:50.624993,0.27,0.411742,-8.885496
2009-06-21 03:06:28.124991,0.23,0.4118132,-8.887421
2009-06-22 15:05:46.875004,0.239,0.41198286,-8.857312
2009-06-23 02:25:05.624999,0.319,0.4122012,-8.713692
2009-06-24 16:04:22.499991,0.272,0.41239724,-8.956148
2009-06-25 03:23:44.999995,0.248,0.41252977,-9.166855
2009-06-26 03:02:58.125004,0.225,0.4126904,-8.963862
2009-06-27 15:02:16.874976,0.229,0.41287816,-9.046878
2009-06-28 02:21:37.498990,0.21,0.41291425,-9.012393
2009-06-29 16:00:56.250013,0.238,0.4129335,-9.220335
2009-06-30 03:20:14.999002,0.213,0.41289687,-9.305917
2009-07-01 15:19:33.749980,0.277,0.41275918,-8.866108
2009-07-02 14:58:48.750014,0.246,0.41265917,-9.296149
2009-07-03 02:18:09.374993,0.229,0.41265374,-9.39659
2009-07-04 15:57:28.125010,0.206,0.41258526,-9.381902
2009-07-05 03:16:46.875005,0.194,0.412611,-8.984515
2009-07-06 15:16:05.625017,0.346,0.4127399,-8.442258
2009-07-08 02:14:43.125016,0.3,0.4131417,-9.146449
2009-07-08 16:14:37.499994,0.297,0.4131417,-9.098759
2009-07-09 15:53:59.999002,0.276,0.41336116,-9.035781
2009-07-10 03:13:18.750002,0.283,0.41356602,-9.048604
2009-07-11 15:12:37.499009,0.263,0.41369197,-9.135943
2009-07-13 02:11:15.000013,0.321,0.4139387,-8.617634
2009-07-13 16:11:11.249976,0.345,0.4139387,-8.808863
2009-07-15 03:09:48.749009,0.299,0.4143932,-8.85813
2009-07-16 15:09:07.499987,0.374,0.41467455,-8.753816
2009-07-17 02:28:24.374997,0.353,0.41485664,-8.887803
2009-07-18 02:07:48.749995,0.344,0.4150554,-9.225139
