,SSM_IS,SSM_LSM,SIG40,SLOPE,CURVE,sigf,sigm,siga,incf,incm,inca
2010-01-18 16:00:37.500004,0.336,0.2966399955749512,-8.136676,-0.08774561,0.00020326383,-8.175597,-8.153164,-8.081265,59.24904,48.125046,59.377953
2010-01-20 02:58:58.124012,0.342,0.275049991607666,-8.136666,-0.08771711,0.00021772103,-8.241362,-8.011751,-8.156887,46.319836,35.6578,46.23465
2010-01-21 14:58:35.624999,0.35,0.38548999786376953,-7.747195,-0.08769255,0.00022704442,-7.693698,-7.72805,-7.8198376,52.360992,41.23627,52.380993
2010-01-22 02:17:33.750000,0.361,0.33029998779296876,-8.009717,-0.08768866,0.00023848657,-8.034638,-7.9637856,-8.030727,39.838608,30.046925,39.82089
2010-01-23 01:56:58.124999,0.351,0.31426000595092773,-8.311224,-0.087645635,0.00024749845,-8.380436,-8.184056,-8.369181,63.232025,52.079002,63.15046
2010-01-23 15:57:11.249986,0.348,0.30642000198364255,-8.431221,-0.087645635,0.00024749845,-8.264847,-8.416258,-8.612559,55.95278,44.859287,56.067383
2010-01-25 02:55:30.000016,0.431,0.35012001037597656,-7.1455197,-0.087554134,0.00026009732,-7.10212,-7.3198905,-7.014549,41.053875,31.086226,40.97276
2010-01-26 14:55:07.499997,0.358,0.3216699981689453,-8.656685,-0.08746681,0.00026102862,-8.654307,-8.531445,-8.784301,56.28506,44.971184,56.307026
2010-01-27 02:14:07.500023,0.355,0.31288000106811525,-8.991152,-0.08736974,0.00025965512,-9.0426855,-8.9773445,-8.953424,44.98145,34.517506,44.943783
2010-01-28 15:53:43.124983,0.344,0.3010700035095215,-8.328406,-0.08723598,0.00025800362,-8.268415,-8.387832,-8.328973,52.219345,41.25479,52.325302
2010-01-29 03:12:46.875019,0.344,0.29802000045776367,-8.202079,-0.08708604,0.00024965487,-8.232229,-8.17764,-8.196364,61.878704,50.45764,61.798588
2010-01-31 14:51:37.500009,0.347,0.29402999877929686,-9.259549,-0.08690066,0.000238064,-9.720756,-9.018715,-9.039176,59.760887,48.38904,59.78527
2010-02-01 02:10:41.250005,0.348,0.31472999572753907,-8.997002,-0.08682802,0.00023329268,-9.260409,-8.65224,-9.078355,49.601627,38.730362,49.55558
2010-02-02 15:50:16.875006,0.365,0.3530300140380859,-8.387855,-0.08677617,0.00022835666,-8.691321,-8.185721,-8.286521,47.98772,37.29885,48.078003
2010-02-03 03:09:18.749976,0.365,0.3661800003051758,-8.742163,-0.086690046,0.00021780378,-8.784199,-8.684619,-8.757669,58.62864,47.216206,58.546417
2010-02-04 15:08:54.375013,0.358,0.3484999847412109,-8.386734,-0.08661487,0.0002043786,-8.296315,-8.335846,-8.528041,37.311893,27.964983,37.302917
2010-02-05 14:48:09.375007,0.425,0.3453099822998047,-8.351883,-0.08648525,0.00018493141,-8.454295,-8.323297,-8.278058,62.87594,51.509865,62.891346
